YEAR,MO,DY,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_KT,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX
2010,12,31,4.39,6.59,0.46,386.7,86.6,127.13,11.88,0.36,1.88
2011,1,1,4.57,6.88,0.48,375.34,88.98,130.88,12.39,0.38,1.92
2011,1,2,4.29,6.75,0.45,379.79,84.46,128.74,11.85,0.35,1.83
2011,1,3,4.17,6.71,0.44,372.05,81.0,126.86,11.33,0.34,1.74
2011,1,4,3.8,6.83,0.4,374.32,74.41,129.62,10.88,0.34,1.71
2011,1,5,3.97,6.78,0.41,380.46,78.95,129.75,11.46,0.34,1.77
2011,1,6,4.36,6.66,0.46,367.09,84.29,126.45,11.73,0.34,1.76
2011,1,7,3.87,6.76,0.41,357.47,74.96,125.88,10.95,0.34,1.73
2011,1,8,3.63,6.81,0.38,375.39,72.27,130.68,10.48,0.33,1.69
2011,1,9,3.54,6.87,0.37,382.84,71.84,132.65,10.58,0.34,1.77
2011,1,10,3.72,6.85,0.39,370.66,74.14,130.91,10.86,0.34,1.76
2011,1,11,4.02,6.93,0.42,382.5,79.38,132.97,11.48,0.37,1.88
2011,1,12,4.55,6.97,0.48,382.67,88.47,132.57,12.36,0.38,1.93
2011,1,13,3.24,7.04,0.34,390.42,65.59,135.01,9.87,0.3,1.57
2011,1,14,4.58,6.97,0.48,375.54,88.87,132.48,12.4,0.37,1.88
2011,1,15,4.64,6.91,0.48,370.71,89.47,131.01,12.38,0.37,1.91
2011,1,16,3.78,6.86,0.39,375.42,75.31,130.93,11.09,0.35,1.79
2011,1,17,4.32,6.82,0.45,374.65,84.01,129.98,11.78,0.35,1.8
2011,1,18,4.13,6.83,0.43,380.12,81.24,129.85,11.45,0.34,1.75
2011,1,19,4.05,6.82,0.41,376.55,79.41,129.39,11.45,0.35,1.8
2011,1,20,4.83,6.95,0.5,378.38,94.3,132.65,13.38,0.41,2.09
2011,1,21,4.73,7.06,0.48,374.49,90.2,133.51,12.47,0.38,1.92
2011,1,22,4.62,6.96,0.48,367.66,88.56,131.12,12.24,0.38,1.91
2011,1,23,4.83,7.0,0.49,352.13,89.81,128.16,12.39,0.38,1.98
2011,1,24,4.68,6.91,0.48,370.69,89.59,129.83,12.48,0.38,1.95
2011,1,25,4.38,6.96,0.45,374.8,85.12,132.36,12.05,0.37,1.89
2011,1,26,3.98,7.09,0.41,361.18,77.17,134.12,11.1,0.35,1.81
2011,1,27,4.5,7.06,0.46,369.16,87.42,133.58,12.28,0.38,1.97
2011,1,28,4.26,7.08,0.43,377.77,82.84,134.59,11.98,0.39,2.01
2011,1,29,4.15,6.83,0.42,386.7,81.56,129.45,11.52,0.38,1.95
2011,1,30,4.48,6.75,0.45,373.19,85.62,126.23,11.74,0.37,1.91
2011,1,31,4.43,6.94,0.45,378.09,85.44,131.1,11.84,0.37,1.91
2011,2,1,3.74,7.02,0.38,381.33,72.8,133.04,10.43,0.33,1.7
2011,2,2,4.14,7.05,0.41,386.16,79.2,133.17,11.21,0.35,1.8
2011,2,3,4.87,7.13,0.49,376.83,93.03,134.74,13.12,0.42,2.2
2011,2,4,4.34,7.15,0.44,373.81,83.66,135.28,11.96,0.4,2.05
2011,2,5,4.21,7.09,0.42,382.44,82.62,135.39,11.74,0.38,1.95
2011,2,6,3.43,7.15,0.34,381.56,69.78,136.77,10.38,0.34,1.77
2011,2,7,2.32,6.97,0.23,379.05,47.96,132.48,7.16,0.23,1.2
2011,2,8,4.08,7.07,0.41,360.14,79.3,130.07,11.29,0.37,1.9
2011,2,9,3.94,6.83,0.39,378.52,78.27,128.19,11.0,0.35,1.8
2011,2,10,3.21,6.63,0.32,379.7,64.03,124.73,8.95,0.28,1.41
2011,2,11,2.92,6.84,0.29,364.95,59.28,129.02,8.51,0.28,1.44
2011,2,12,4.14,6.81,0.41,374.7,81.03,127.77,11.15,0.35,1.82
2011,2,13,2.79,6.99,0.27,372.03,56.84,132.02,8.34,0.27,1.39
2011,2,14,4.26,7.14,0.42,382.0,83.65,135.86,11.99,0.38,1.91
2011,2,15,4.45,7.17,0.44,378.95,86.84,136.47,12.3,0.38,1.91
2011,2,16,3.2,6.86,0.31,370.66,62.81,128.34,8.98,0.29,1.47
2011,2,17,4.28,7.43,0.42,360.98,83.4,141.37,12.24,0.39,2.02
2011,2,18,4.59,7.37,0.45,370.85,89.88,140.03,12.9,0.41,2.12
2011,2,19,4.62,7.34,0.45,372.68,90.64,139.77,12.97,0.41,2.13
2011,2,20,5.04,7.37,0.49,370.19,97.61,140.0,13.74,0.44,2.27
2011,2,21,4.93,7.31,0.48,372.98,94.91,138.03,13.29,0.42,2.22
2011,2,22,4.21,7.19,0.41,381.52,82.12,135.99,11.77,0.38,1.97
2011,2,23,3.83,7.17,0.38,378.85,76.13,136.02,10.95,0.36,1.88
2011,2,24,3.36,7.24,0.33,354.84,65.24,132.74,9.54,0.34,1.73
2011,2,25,5.05,7.26,0.49,365.87,97.66,137.04,13.54,0.43,2.23
2011,2,26,4.5,7.16,0.44,371.01,88.43,135.73,12.4,0.41,2.09
2011,2,27,3.82,7.11,0.37,362.2,74.34,132.53,10.58,0.35,1.81
2011,2,28,4.1,7.11,0.4,373.22,80.24,134.36,11.29,0.36,1.88
2011,3,1,3.98,7.44,0.38,377.96,79.38,141.24,11.53,0.38,1.95
2011,3,2,3.9,7.5,0.38,378.65,77.84,142.4,11.4,0.38,1.94
2011,3,3,4.78,7.62,0.46,367.49,94.19,144.89,13.61,0.45,2.31
2011,3,4,5.17,7.49,0.5,361.15,101.15,141.72,14.16,0.45,2.32
2011,3,5,4.44,7.41,0.43,374.67,87.67,140.41,12.48,0.39,2.01
2011,3,6,3.89,7.27,0.38,378.65,76.98,136.6,11.12,0.37,1.91
2011,3,7,4.64,7.22,0.45,373.88,90.06,134.98,12.52,0.4,2.06
2011,3,8,3.89,7.14,0.38,371.82,76.32,133.58,10.73,0.34,1.77
2011,3,9,2.87,7.24,0.27,369.92,58.07,136.4,8.49,0.28,1.45
2011,3,10,3.18,7.43,0.3,358.77,63.72,139.35,9.4,0.31,1.63
2011,3,11,5.52,7.57,0.53,356.07,106.02,141.73,14.72,0.47,2.45
2011,3,12,5.16,7.74,0.49,349.69,97.98,141.94,14.02,0.47,2.51
2011,3,13,4.76,7.43,0.45,363.49,91.87,138.77,12.8,0.41,2.1
2011,3,14,5.85,7.55,0.56,363.59,112.3,141.77,15.29,0.48,2.52
2011,3,15,5.28,7.5,0.51,359.25,102.12,141.23,14.13,0.45,2.39
2011,3,16,4.1,7.16,0.39,382.02,80.08,135.01,11.16,0.36,1.86
2011,3,17,3.75,7.34,0.36,385.38,74.09,139.59,10.82,0.36,1.87
2011,3,18,3.91,7.18,0.38,394.24,77.28,135.74,10.97,0.35,1.84
2011,3,19,3.99,7.36,0.38,386.37,78.92,139.35,11.43,0.38,1.98
2011,3,20,3.84,7.52,0.37,372.05,75.94,143.89,11.34,0.38,2.0
2011,3,21,4.32,7.38,0.41,377.17,85.84,140.09,12.34,0.41,2.11
2011,3,22,4.06,7.48,0.39,384.04,80.97,142.29,11.79,0.41,2.13
2011,3,23,4.28,7.43,0.41,386.77,85.91,142.11,12.34,0.41,2.2
2011,3,24,4.22,7.18,0.41,379.91,82.31,134.53,11.42,0.38,1.97
2011,3,25,3.84,7.36,0.37,378.16,78.12,140.24,11.38,0.38,1.96
2011,3,26,4.13,7.56,0.4,378.73,83.23,144.63,12.22,0.41,2.11
2011,3,27,4.73,7.51,0.45,376.98,94.53,143.81,13.53,0.45,2.41
2011,3,28,4.72,7.65,0.45,361.03,92.55,143.36,13.45,0.45,2.39
2011,3,29,4.55,7.43,0.44,379.84,89.91,141.14,12.86,0.42,2.23
2011,3,30,4.23,7.21,0.41,382.89,84.82,137.06,11.94,0.38,2.01
2011,3,31,4.39,7.4,0.42,365.26,87.25,139.57,12.3,0.41,2.14
2011,4,1,5.02,7.4,0.48,376.34,99.02,140.77,13.73,0.44,2.3
2011,4,2,4.29,7.27,0.41,381.51,84.51,137.29,11.83,0.39,2.05
2011,4,3,4.33,7.39,0.41,390.27,86.13,141.33,12.3,0.4,2.09
2011,4,4,4.37,7.27,0.42,384.91,86.72,138.01,12.21,0.41,2.12
2011,4,5,3.45,7.42,0.33,379.28,69.58,141.92,10.14,0.34,1.75
2011,4,6,4.13,7.35,0.4,379.11,82.12,139.88,11.77,0.39,2.05
2011,4,7,3.69,7.22,0.35,380.18,74.15,137.57,10.52,0.36,1.87
2011,4,8,4.47,7.34,0.43,382.41,88.75,140.62,12.52,0.41,2.12
2011,4,9,3.82,7.29,0.37,379.34,76.28,138.66,10.9,0.36,1.88
2011,4,10,3.15,7.21,0.3,379.08,62.93,137.16,9.07,0.3,1.53
2011,4,11,4.02,6.95,0.39,377.01,78.15,130.01,10.78,0.36,1.87
2011,4,12,3.5,7.11,0.34,372.4,68.49,133.34,9.74,0.32,1.69
2011,4,13,5.07,7.53,0.49,356.95,97.91,140.47,13.93,0.46,2.43
2011,4,14,4.53,7.34,0.44,373.42,88.74,139.59,12.55,0.41,2.16
2011,4,15,3.19,7.16,0.3,381.33,63.16,136.72,9.19,0.31,1.64
2011,4,16,3.99,7.33,0.39,371.16,78.9,138.84,11.41,0.38,2.02
2011,4,17,3.6,7.33,0.35,372.62,71.04,139.74,10.3,0.34,1.82
2011,4,18,3.81,7.18,0.37,386.19,75.22,136.62,10.82,0.38,1.95
2011,4,19,4.42,7.24,0.43,385.45,86.87,137.73,12.34,0.41,2.18
2011,4,20,4.24,7.43,0.41,376.58,82.92,141.3,12.16,0.42,2.23
2011,4,21,4.46,7.29,0.44,377.27,88.76,138.51,12.77,0.43,2.25
2011,4,22,4.84,7.41,0.47,372.51,95.88,141.88,13.72,0.45,2.38
2011,4,23,4.61,7.39,0.45,374.08,90.62,141.2,13.09,0.43,2.27
2011,4,24,4.54,7.19,0.45,385.38,90.34,137.06,12.61,0.41,2.21
2011,4,25,4.44,7.2,0.44,376.41,85.41,136.23,12.15,0.41,2.13
2011,4,26,4.66,7.13,0.46,375.55,91.27,135.98,12.77,0.43,2.28
2011,4,27,4.63,7.29,0.45,374.01,90.56,138.91,12.85,0.43,2.27
2011,4,28,4.6,7.11,0.45,374.8,89.87,134.73,12.53,0.41,2.2
2011,4,29,4.95,7.42,0.48,357.78,95.68,139.19,13.59,0.45,2.44
2011,4,30,4.66,7.12,0.46,382.58,91.13,134.98,12.68,0.41,2.15
2011,5,1,4.6,7.01,0.45,381.91,90.69,133.75,12.57,0.41,2.19
2011,5,2,4.61,7.17,0.45,373.06,89.66,135.53,12.48,0.41,2.15
2011,5,3,2.29,6.9,0.23,382.48,44.91,129.62,6.49,0.21,1.11
2011,5,4,4.32,6.85,0.43,386.75,84.84,129.88,11.77,0.38,1.97
2011,5,5,4.34,7.01,0.43,391.74,84.3,133.15,11.94,0.38,1.98
2011,5,6,4.22,7.07,0.42,388.99,82.22,134.38,11.73,0.38,1.96
2011,5,7,3.63,7.01,0.36,391.75,70.54,133.52,10.13,0.33,1.71
2011,5,8,3.74,6.75,0.38,379.42,72.27,126.57,10.1,0.32,1.66
2011,5,9,4.06,6.83,0.41,384.38,79.12,128.88,11.13,0.36,1.87
2011,5,10,4.71,6.75,0.47,380.26,90.06,126.59,12.34,0.39,2.05
2011,5,11,3.95,6.96,0.4,379.41,76.04,132.41,10.96,0.36,1.88
2011,5,12,3.79,7.13,0.38,385.3,73.4,136.05,10.78,0.35,1.79
2011,5,13,3.92,7.35,0.39,373.95,75.78,142.48,11.36,0.38,1.98
2011,5,14,3.3,7.03,0.33,374.16,64.07,133.91,9.44,0.31,1.6
2011,5,15,4.29,7.16,0.43,358.43,82.27,133.27,11.92,0.41,2.12
2011,5,16,4.47,6.88,0.45,371.23,86.32,129.9,12.09,0.39,2.05
2011,5,17,5.56,7.12,0.56,363.66,108.25,136.3,14.85,0.46,2.4
2011,5,18,5.12,7.18,0.52,359.47,98.95,136.6,13.98,0.44,2.26
2011,5,19,4.02,7.0,0.41,371.75,77.01,133.16,11.16,0.36,1.84
2011,5,20,4.69,6.88,0.48,377.65,90.46,130.05,12.46,0.4,2.06
2011,5,21,3.8,6.86,0.38,391.52,74.25,130.61,10.68,0.34,1.78
2011,5,22,3.67,6.73,0.38,375.88,71.24,125.84,10.18,0.34,1.73
2011,5,23,4.47,6.99,0.45,377.28,86.35,132.52,12.18,0.39,2.03
2011,5,24,3.86,6.8,0.39,397.09,77.19,131.59,10.88,0.34,1.78
2011,5,25,4.34,6.87,0.45,378.73,84.88,131.26,12.0,0.38,1.93
2011,5,26,4.3,6.76,0.44,379.45,84.23,128.38,11.72,0.38,1.96
2011,5,27,3.91,6.91,0.4,383.53,76.76,131.45,11.03,0.36,1.85
2011,5,28,3.53,6.86,0.36,378.34,67.82,129.44,9.79,0.32,1.66
2011,5,29,4.16,6.83,0.43,384.6,80.54,129.15,11.25,0.35,1.83
2011,5,30,4.06,6.5,0.41,380.72,77.52,121.06,10.66,0.34,1.73
2011,5,31,4.02,7.0,0.41,359.37,74.04,128.07,10.65,0.34,1.76
2011,6,1,3.44,6.74,0.35,378.91,65.14,126.55,9.4,0.3,1.52
2011,6,2,2.59,6.66,0.27,378.05,50.6,126.14,7.48,0.23,1.19
2011,6,3,3.5,6.8,0.36,367.7,67.38,128.3,9.8,0.31,1.61
2011,6,4,3.13,6.63,0.32,379.04,60.68,125.5,8.8,0.27,1.38
2011,6,5,4.58,6.73,0.48,381.76,88.42,128.07,12.25,0.38,1.98
2011,6,6,4.67,6.93,0.48,385.72,90.63,132.55,12.7,0.41,2.12
2011,6,7,4.47,6.97,0.46,372.42,85.74,132.3,12.23,0.38,1.98
2011,6,8,4.46,6.75,0.46,380.76,85.89,128.51,12.02,0.37,1.89
2011,6,9,4.48,6.65,0.46,395.7,88.6,129.54,12.25,0.38,1.96
2011,6,10,4.02,6.93,0.41,382.91,77.77,131.81,11.23,0.35,1.82
2011,6,11,4.97,6.83,0.52,376.27,95.62,129.55,13.32,0.42,2.19
2011,6,12,4.63,6.76,0.48,381.81,88.1,128.13,12.3,0.38,1.95
2011,6,13,4.17,6.77,0.43,381.38,79.94,128.13,11.32,0.34,1.77
2011,6,14,3.73,6.73,0.39,368.96,70.59,126.98,10.21,0.31,1.59
2011,6,15,3.67,6.5,0.38,366.99,68.78,120.93,9.62,0.29,1.48
2011,6,16,3.86,6.81,0.4,349.41,71.52,125.38,10.3,0.32,1.62
2011,6,17,3.33,6.65,0.34,379.66,63.81,125.44,9.26,0.29,1.49
2011,6,18,3.31,6.47,0.34,384.48,63.84,122.25,9.11,0.29,1.46
2011,6,19,3.85,6.89,0.4,369.06,74.91,131.64,10.8,0.34,1.7
2011,6,20,5.1,6.79,0.53,369.85,98.32,129.27,13.47,0.4,2.07
2011,6,21,4.59,6.9,0.48,377.27,88.55,130.91,12.43,0.38,1.9
2011,6,22,4.27,6.81,0.45,389.62,83.6,130.11,11.81,0.37,1.91
2011,6,23,3.61,6.81,0.38,378.48,70.7,129.67,10.37,0.33,1.66
2011,6,24,3.9,6.55,0.41,375.42,74.83,123.08,10.51,0.33,1.66
2011,6,25,3.28,6.43,0.34,394.62,65.8,124.62,9.31,0.3,1.5
2011,6,26,4.62,6.79,0.48,374.33,88.84,128.77,12.47,0.39,2.02
2011,6,27,4.91,6.83,0.51,372.06,94.47,129.63,13.14,0.4,2.04
2011,6,28,4.97,6.76,0.52,363.38,95.52,127.23,13.13,0.38,1.97
2011,6,29,4.33,6.84,0.45,374.52,84.27,130.3,12.03,0.37,1.87
2011,6,30,3.96,6.81,0.41,371.8,76.63,129.38,11.06,0.34,1.74
2011,7,1,5.11,6.84,0.53,368.48,99.24,130.88,13.73,0.42,2.18
2011,7,2,3.4,7.07,0.35,367.05,65.64,132.55,9.84,0.31,1.58
2011,7,3,4.81,6.83,0.5,366.96,91.77,128.5,12.6,0.38,1.96
2011,7,4,4.12,6.71,0.43,379.33,80.1,127.7,11.28,0.34,1.77
2011,7,5,4.07,6.66,0.42,360.78,78.54,125.57,10.95,0.33,1.7
2011,7,6,3.1,6.56,0.32,378.09,60.59,123.29,8.63,0.27,1.39
2011,7,7,4.44,6.74,0.46,377.0,86.51,127.98,12.06,0.38,1.91
2011,7,8,4.6,6.59,0.48,384.09,88.58,123.53,12.18,0.38,1.97
2011,7,9,3.52,6.6,0.37,380.42,69.56,124.02,9.87,0.3,1.55
2011,7,10,3.75,6.77,0.39,380.34,74.08,128.23,10.57,0.33,1.66
2011,7,11,3.67,6.61,0.38,391.61,73.98,127.11,10.41,0.31,1.59
2011,7,12,3.92,6.82,0.41,378.72,77.02,129.04,11.04,0.34,1.77
2011,7,13,3.7,6.89,0.38,376.42,74.02,131.3,10.84,0.34,1.74
2011,7,14,3.82,6.76,0.39,373.69,75.94,128.11,10.84,0.34,1.74
2011,7,15,4.06,6.89,0.42,378.98,80.37,131.45,11.54,0.36,1.86
2011,7,16,5.19,6.99,0.53,371.98,100.73,133.72,13.98,0.43,2.25
2011,7,17,3.59,6.82,0.37,376.16,69.83,129.44,10.09,0.31,1.57
2011,7,18,3.66,7.02,0.38,365.9,69.52,130.57,10.19,0.33,1.68
2011,7,19,4.67,6.92,0.48,379.62,90.26,131.15,12.48,0.38,1.98
2011,7,20,4.76,6.91,0.48,373.79,92.09,131.58,12.73,0.39,2.06
2011,7,21,5.0,6.9,0.52,365.2,95.95,131.15,13.35,0.41,2.12
2011,7,22,4.5,6.76,0.46,375.47,86.95,128.24,11.95,0.36,1.87
2011,7,23,4.19,6.68,0.43,383.5,81.23,126.23,11.27,0.35,1.8
2011,7,24,4.48,6.78,0.46,392.15,86.53,127.69,11.98,0.38,1.94
2011,7,25,4.36,6.78,0.45,374.92,83.93,127.51,11.59,0.37,1.88
2011,7,26,4.1,6.69,0.41,379.4,77.58,125.35,10.77,0.34,1.75
2011,7,27,3.71,6.6,0.38,400.04,73.59,127.68,10.32,0.33,1.67
2011,7,28,2.92,6.65,0.3,375.33,56.35,124.73,8.12,0.26,1.32
2011,7,29,3.43,6.89,0.35,373.06,66.49,129.52,9.62,0.3,1.57
2011,7,30,3.46,7.08,0.35,371.56,67.95,134.8,10.02,0.31,1.61
2011,7,31,4.13,7.09,0.42,381.46,81.83,135.57,11.83,0.38,1.9
2011,8,1,4.79,7.08,0.48,374.49,93.88,135.38,13.09,0.4,2.05
2011,8,2,4.89,7.08,0.49,373.35,95.34,134.93,13.41,0.42,2.19
2011,8,3,4.59,7.18,0.46,359.7,87.98,132.92,12.59,0.41,2.11
2011,8,4,4.99,7.05,0.5,365.27,94.66,131.16,12.99,0.41,2.15
2011,8,5,5.68,7.08,0.57,370.71,110.08,134.77,14.89,0.46,2.44
2011,8,6,5.13,7.09,0.52,358.34,98.23,132.99,13.61,0.43,2.24
2011,8,7,5.08,6.81,0.51,372.8,96.92,127.47,13.14,0.42,2.19
2011,8,8,4.57,7.05,0.46,376.91,87.16,132.08,12.16,0.38,1.97
2011,8,9,3.49,7.03,0.35,393.41,69.3,133.39,9.96,0.3,1.57
2011,8,10,4.92,7.05,0.49,374.09,94.78,132.52,13.02,0.41,2.14
2011,8,11,4.27,7.01,0.43,376.2,82.93,131.67,11.62,0.36,1.86
2011,8,12,4.46,6.91,0.45,387.52,88.75,132.96,12.42,0.38,1.97
2011,8,13,4.13,6.97,0.41,378.01,80.84,132.24,11.31,0.34,1.78
2011,8,14,4.1,7.06,0.41,380.51,81.25,134.12,11.59,0.37,1.88
2011,8,15,3.93,6.97,0.39,377.75,77.29,131.73,10.96,0.35,1.78
2011,8,16,4.19,7.17,0.41,378.7,81.05,136.27,11.6,0.37,1.88
2011,8,17,4.6,7.13,0.45,373.28,88.84,134.95,12.34,0.38,1.97
2011,8,18,4.63,7.32,0.46,377.52,90.34,139.55,12.99,0.42,2.16
2011,8,19,4.24,7.31,0.42,358.71,81.26,135.62,11.8,0.38,2.0
2011,8,20,4.39,7.12,0.44,377.11,84.74,134.7,11.92,0.37,1.9
2011,8,21,4.83,7.21,0.48,380.88,95.16,138.38,13.46,0.42,2.16
2011,8,22,4.76,7.09,0.47,365.33,91.64,132.93,12.77,0.4,2.07
2011,8,23,4.36,7.07,0.43,374.1,85.19,134.32,11.86,0.38,1.94
2011,8,24,4.33,7.02,0.43,373.37,83.58,132.47,11.73,0.37,1.91
2011,8,25,4.99,6.94,0.49,379.41,96.02,130.19,12.94,0.4,2.09
2011,8,26,4.79,7.12,0.47,376.73,92.88,134.3,12.87,0.39,2.05
2011,8,27,5.12,7.16,0.5,372.93,98.7,134.73,13.66,0.42,2.17
2011,8,28,4.54,7.05,0.45,391.76,90.11,135.53,12.5,0.38,1.96
2011,8,29,4.77,7.24,0.47,378.66,92.73,137.34,12.97,0.41,2.1
2011,8,30,5.64,7.46,0.55,368.01,108.18,140.41,14.88,0.45,2.35
2011,8,31,4.39,7.29,0.43,380.81,85.34,137.62,12.04,0.37,1.91
2011,9,1,4.77,7.22,0.47,369.95,91.53,134.62,12.77,0.41,2.12
2011,9,2,5.03,7.19,0.49,367.41,96.01,133.93,13.18,0.41,2.1
2011,9,3,4.25,7.17,0.41,373.42,82.93,134.14,11.58,0.36,1.87
2011,9,4,4.47,7.56,0.44,358.56,85.88,140.18,12.3,0.38,1.96
2011,9,5,5.43,7.47,0.53,367.01,104.36,140.48,14.4,0.44,2.3
2011,9,6,3.71,7.34,0.36,381.17,74.12,139.77,10.67,0.34,1.72
2011,9,7,3.82,7.18,0.38,371.05,75.82,135.79,10.83,0.34,1.73
2011,9,8,3.38,7.34,0.33,377.87,67.77,139.66,10.01,0.31,1.62
2011,9,9,3.41,7.44,0.33,374.89,70.25,141.48,10.36,0.33,1.69
2011,9,10,4.7,7.36,0.45,381.98,93.67,140.7,13.31,0.42,2.17
2011,9,11,3.84,7.35,0.38,378.2,77.62,139.3,11.28,0.36,1.86
2011,9,12,4.28,7.21,0.41,379.02,84.76,136.05,11.94,0.38,1.93
2011,9,13,4.7,7.31,0.46,369.79,92.12,137.5,12.85,0.39,2.05
2011,9,14,5.26,7.3,0.51,370.02,102.5,138.02,14.12,0.44,2.3
2011,9,15,4.81,7.38,0.47,373.82,95.45,140.16,13.43,0.42,2.2
2011,9,16,4.55,7.31,0.45,377.3,90.7,138.92,12.87,0.41,2.12
2011,9,17,4.31,7.21,0.42,384.52,85.82,136.8,12.14,0.38,1.98
2011,9,18,4.31,7.22,0.42,380.77,85.48,136.71,12.09,0.38,1.95
2011,9,19,4.4,7.24,0.43,383.34,87.34,137.38,12.29,0.38,1.97
2011,9,20,4.86,7.59,0.47,352.66,92.77,139.83,13.26,0.42,2.18
2011,9,21,3.98,7.27,0.38,378.15,79.16,137.31,11.17,0.34,1.77
2011,9,22,4.64,7.25,0.45,374.76,91.16,136.52,12.66,0.39,2.05
2011,9,23,4.93,7.38,0.48,364.47,97.23,140.4,13.82,0.43,2.22
2011,9,24,4.2,7.31,0.41,378.59,84.08,139.57,12.09,0.38,1.98
2011,9,25,3.99,7.19,0.39,380.91,78.3,135.63,11.27,0.35,1.83
2011,9,26,4.31,7.14,0.42,389.16,84.34,134.55,11.77,0.37,1.93
2011,9,27,4.81,7.3,0.47,374.41,91.84,135.88,12.74,0.41,2.13
2011,9,28,4.41,6.96,0.43,371.83,84.45,128.38,11.4,0.34,1.78
2011,9,29,3.37,7.04,0.33,384.59,67.38,135.3,9.58,0.29,1.48
2011,9,30,4.81,7.34,0.47,373.23,93.92,139.67,13.16,0.4,2.08
2011,10,1,3.72,7.34,0.36,378.61,73.52,139.88,10.77,0.34,1.73
2011,10,2,4.25,7.4,0.41,381.9,83.73,141.66,12.26,0.38,1.99
2011,10,3,3.96,7.35,0.38,382.02,79.77,140.57,11.6,0.36,1.86
2011,10,4,3.95,7.36,0.38,375.88,80.33,140.65,11.63,0.37,1.91
2011,10,5,4.59,7.28,0.45,375.47,91.48,139.34,12.91,0.39,2.02
2011,10,6,4.54,7.54,0.45,358.23,89.41,141.03,13.03,0.41,2.11
2011,10,7,4.33,7.34,0.42,380.73,86.78,140.57,12.48,0.39,2.02
2011,10,8,3.63,7.36,0.35,384.8,74.81,142.28,11.14,0.35,1.8
2011,10,9,4.11,7.46,0.41,374.42,82.95,142.62,12.13,0.39,2.01
2011,10,10,4.1,7.24,0.4,374.57,82.6,138.59,11.88,0.38,1.98
2011,10,11,4.55,7.21,0.45,369.39,89.37,136.87,12.55,0.4,2.05
2011,10,12,4.39,7.13,0.43,382.3,87.12,135.43,12.36,0.39,2.04
2011,10,13,4.61,7.34,0.45,375.41,90.64,138.98,12.98,0.41,2.13
2011,10,14,2.64,7.39,0.26,372.04,54.55,140.97,8.27,0.27,1.4
2011,10,15,3.48,7.46,0.34,370.89,70.99,143.27,10.72,0.35,1.81
2011,10,16,3.3,7.44,0.33,366.34,67.3,142.42,10.18,0.34,1.73
2011,10,17,2.78,7.44,0.27,358.58,57.4,141.7,8.84,0.29,1.5
2011,10,18,4.23,7.48,0.41,356.96,83.92,141.42,12.4,0.4,2.02
2011,10,19,5.32,7.47,0.52,356.8,101.27,139.72,14.34,0.45,2.29
2011,10,20,4.71,7.3,0.47,356.99,90.86,137.37,12.97,0.41,2.12
2011,10,21,4.67,7.19,0.46,365.57,90.16,134.76,12.75,0.4,2.08
2011,10,22,5.64,7.49,0.56,338.8,106.23,138.2,14.93,0.48,2.51
2011,10,23,4.46,7.13,0.45,369.16,86.53,135.08,12.14,0.38,1.94
2011,10,24,2.93,7.16,0.29,372.66,58.73,137.39,8.73,0.27,1.38
2011,10,25,3.82,7.24,0.38,366.91,74.83,137.73,10.89,0.34,1.7
2011,10,26,4.58,7.19,0.45,374.85,89.25,136.84,12.59,0.39,1.99
2011,10,27,4.66,7.22,0.46,379.25,88.79,137.17,12.53,0.38,1.92
2011,10,28,2.45,6.98,0.24,386.04,47.97,132.23,7.16,0.23,1.13
2011,10,29,4.19,6.97,0.42,375.2,80.35,131.27,11.28,0.35,1.8
2011,10,30,2.37,6.93,0.23,372.05,46.88,130.8,6.96,0.23,1.13
2011,10,31,4.66,6.93,0.47,380.46,91.2,133.02,12.51,0.38,1.98
2011,11,1,4.88,7.07,0.49,369.2,94.12,132.91,13.05,0.41,2.09
2011,11,2,4.61,7.04,0.46,375.73,89.78,133.6,12.49,0.38,1.94
2011,11,3,4.01,7.02,0.41,370.07,77.07,132.8,11.06,0.34,1.73
2011,11,4,3.81,7.02,0.38,379.06,74.56,133.55,10.67,0.34,1.7
2011,11,5,4.67,7.02,0.47,372.05,91.7,134.54,12.84,0.41,2.1
2011,11,6,3.92,7.13,0.4,379.28,76.07,137.25,11.24,0.35,1.8
2011,11,7,4.35,7.27,0.45,358.37,83.97,136.72,12.27,0.39,2.02
2011,11,8,2.85,7.11,0.29,374.59,56.03,135.84,8.52,0.27,1.41
2011,11,9,4.33,7.21,0.44,377.99,85.71,139.82,12.38,0.38,1.95
2011,11,10,4.34,7.08,0.45,364.25,84.78,134.94,12.09,0.38,1.95
2011,11,11,4.06,7.04,0.41,372.22,79.8,134.87,11.56,0.36,1.84
2011,11,12,3.56,7.21,0.37,374.42,69.75,138.57,10.48,0.34,1.68
2011,11,13,4.34,7.08,0.45,378.25,83.73,135.73,12.13,0.39,1.98
2011,11,14,4.46,7.07,0.45,370.17,86.81,134.3,12.31,0.41,2.1
2011,11,15,4.21,7.04,0.43,371.39,82.05,134.35,11.8,0.38,1.96
2011,11,16,3.92,6.95,0.41,383.26,77.05,136.39,11.38,0.37,1.88
